id,slug,eligible,missing,seo_complete_proposed,manual_review,reason
37f6a3ae-f758-4449-83f5-e036c83f189d,badaling-great-wall-day-tour,true,,true,false,active seo_complete backfill candidate
3468ea14-5f5e-40f6-9234-0fedf137189e,beijing-city-imperial-grandeur-urban-chic-1-day-tour,true,,true,false,active seo_complete backfill candidate
8f3cdc36-f243-45da-b3b5-ecfba83929a6,beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour,true,,true,false,active seo_complete backfill candidate
d5e5c0e9-6549-497a-97a3-4843621da5dc,beijing-to-mutianyu-great-wall-day-tour,true,,true,false,active seo_complete backfill candidate
4d3bbbb8-3907-459b-af10-181ace7af8ec,beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour,true,,true,false,active seo_complete backfill candidate
12da1d30-0d8d-49df-b350-fe6880c56ab8,chaoshan-region-cultural-heritage-6-day-tour,true,,true,false,active seo_complete backfill candidate
535ac95b-f891-4e1c-916f-57028d7cb9e0,chengdu-chongqing-double-cities-6-day-tour,true,,true,false,active seo_complete backfill candidate
d48f2466-e466-4801-886c-cd28c6cc97c6,chongqing-highlights-magic-cityscape-day-tour,true,,true,false,active seo_complete backfill candidate
9b0aefcc-3604-4d5c-bcc2-0b8ee80bb621,grand-china-highlands-nature-18-day-journey,true,,true,false,active seo_complete backfill candidate
eb9647df-6b38-46be-9920-9b80f27a9d2e,grand-china-highlights-16-day-multi-city-journey,true,,true,false,active seo_complete backfill candidate
4a22ea8c-15a2-4b39-b1d2-c7b3d3e32fd7,guangzhou-chaoshan-xiamen-cultural-loop-8-day-tour,true,,true,false,active seo_complete backfill candidate
d2be5f8a-75a3-453a-88e6-a13c8baa70d4,guilin-to-yangshuo-classic-7-day-tour,true,,true,false,active seo_complete backfill candidate
fe99d869-cb67-4ba7-8791-ecdfa38c2701,huangshan-to-huizhou-ancient-villages-6-day-tour,true,,true,false,active seo_complete backfill candidate
aa64bf32-d48f-4d5a-8bb7-e0e85353de5c,jiuzhaigou-cultural-adventure-4-day-tour,true,,true,false,active seo_complete backfill candidate
062f363b-eabb-493c-a15b-fe769db12ac5,jiuzhaigou-huanglong-by-high-speed-rail-3-day-tour,true,,true,false,active seo_complete backfill candidate
28ae5874-2c8f-4f88-895e-09cb45c36872,leshan-buddha-emei-mountain-2-day-tour,true,,true,false,active seo_complete backfill candidate
43afa024-0a6b-42a4-ab24-b582778ad587,lhasa-holy-lakes-classic-tibet-8-day-tour,true,,true,false,active seo_complete backfill candidate
645c7b01-6a18-4246-91b7-69f1311e9ebc,shanghai-suzhou-classic-dual-city-7-day-tour,true,,true,false,active seo_complete backfill candidate
743d03b7-82a9-4d72-9715-10ee9df9f231,siguniang-mountain-2-day-tour,true,,true,false,active seo_complete backfill candidate
bfd44a68-c631-4e23-950f-f93a7e9231b5,xian-culture-mount-hua-in-depth-4-day-tour,true,,true,false,active seo_complete backfill candidate
06f935af-8ca1-45e0-bdc3-053b94907cf2,xian-terracotta-warriors-tang-paradise-night-tour,true,,true,false,active seo_complete backfill candidate
1211dc54-4653-4bb1-a925-75fa38477919,xining-to-lhasa-mount-everest-tibet-grand-10-day-tour,true,,true,false,active seo_complete backfill candidate
ef87b1c3-d52a-4e8e-ade7-950e1bceadb3,yunnan-kunming-dali-lijiang-shangri-la-9-day-tour,true,,true,false,active seo_complete backfill candidate
08579f34-894b-4278-9608-a96f54d2b591,zhangjiajie-fenghuang-classic-7-day-dual-destination-tour,true,,true,false,active seo_complete backfill candidate
