id,slug,journey_title,current_price,currency,price_basis,price_on_request,price_note,reviewer_decision,notes
37f6a3ae-f758-4449-83f5-e036c83f189d,badaling-great-wall-day-tour,Badaling Great Wall Day Tour,217,,,false,,,manual_review_required
3468ea14-5f5e-40f6-9234-0fedf137189e,beijing-city-imperial-grandeur-urban-chic-1-day-tour,Beijing City Imperial Grandeur & Urban Chic One-Day Tour,192,,,false,"Same price all year round: €192；

Note: The Palace Museum is closed to the public every Monday; Tiananmen Square hosts foreign affairs events from time to time, and we will notify affected users who have made reservations in a timely manner.",,manual_review_required
8f3cdc36-f243-45da-b3b5-ecfba83929a6,beijing-cultural-highlights-and-iconic-sights-5-multi-days-tour,"Beijing Cultural Highlights, and Iconic Sights  5 Multi-Days Tour",1269,,,false,,,manual_review_required
68262f66-90f9-4f2f-822e-51865bde7967,beijing-imperial-temple-garden-hutongs-day-tour,"Beijing Imperial Temple, Garden & Hutongs Day Tour",1000,,,false,,,manual_review_required
d5e5c0e9-6549-497a-97a3-4843621da5dc,beijing-to-mutianyu-great-wall-day-tour,Beijing to Mutianyu Great Wall Day Tour,217,,,false,,,manual_review_required
4d3bbbb8-3907-459b-af10-181ace7af8ec,beijing-to-shanxi-ancient-architecture-with-black-myth-wukong-inspirations-6-day-tour-,Beijing to Shanxi Ancient Architecture with Black Myth: Wukong Inspirations  6-Day Tour ,1938,,,false,,,manual_review_required
12da1d30-0d8d-49df-b350-fe6880c56ab8,chaoshan-region-cultural-heritage-6-day-tour,Chaoshan Region Cultural Heritage 6-Day  Tour,1000,,,false,,,manual_review_required
535ac95b-f891-4e1c-916f-57028d7cb9e0,chengdu-chongqing-double-cities-6-day-tour,Chengdu & Chongqing Double Cities 6-Day  Tour,1324,,,false,,,manual_review_required
e468b842-7c59-4258-8d56-8b585566be82,/journeys/chengdu-panda-alley-culture-day-tour,Chengdu Panda & Alley Culture Day Tour,185,,,false,,,manual_review_required
3ec32480-b591-470f-bd10-9714c84588ef,chengdu-panda-ancient-irrigation-day-tour,Chengdu Panda & Ancient Irrigation Day Tour,1000,,,false,,,manual_review_required
f0f123a2-0413-4050-99d8-46f2b0cd8ec9,chengdu-panda-dujiangyan-mt-qingcheng-2-day-classic-tour,"Chengdu Panda, Dujiangyan & Mt. Qingcheng 2-Day Classic Tour",1000,,,false,,,manual_review_required
77f512fd-41df-4eee-8d35-4c33623aa637,chengdu-to-ganzi-tibetan-buddhism-pilgrimage-hidden-lands-10-day-tour,Chengdu to Ganzi Tibetan Buddhism Pilgrimage & Hidden Lands 10-Day Tour,1000,,,false,,,manual_review_required
aa64bf32-d48f-4d5a-8bb7-e0e85353de5c,jiuzhaigou-cultural-adventure-4-day-tour,Chengdu to Jiuzhaigou & Huanglong 6-Day Nature & Culture Tour,1593,,,false,,,manual_review_required
64ad1143-2c99-4444-a735-195b5c2da099,chengdu-to-xichang-luojishan-6-day-tour,Chengdu to Xichang & Luojishan 6-Day Tour,1000,,,false,,,manual_review_required
ce8fcb42-c0a8-4925-b4e0-540cac40b7e1,chongqing-wulong-classic-6-day-tour,Chongqing & Wulong Classic 6-Day Tour,1000,,,false,,,manual_review_required
d48f2466-e466-4801-886c-cd28c6cc97c6,chongqing-highlights-magic-cityscape-day-tour,Chongqing Highlights & Magic Cityscape Day Tour,203,,,false,,,manual_review_required
6cbaf3e2-63ef-4d78-b1cb-1ed4ef635d13,chongqing-retro-modern-day-tour,Chongqing Retro & Modern Day Tour,1000,,,false,,,manual_review_required
fd6b7c12-c11d-4ae4-9a84-d451bc2fe372,dai-village-nannuo-mountain-tea-culture-day-tour,Dai Village & Nannuo Mountain Tea Culture Day Tour,1000,,,false,,,manual_review_required
f699fa20-3732-4bd0-8379-974e9a35420c,dali-cangshan-mountain-with-chongsheng-three-pagodas-day-tour-,Dali Cangshan Mountain  with Chongsheng Three Pagodas Day Tour ,1000,,,false,,,manual_review_required
87788afb-8344-4dbe-92e9-4ad41f660cd5,datong-to-yungang-grottoes-hanging-temple-day-tour,Datong to Yungang Grottoes & Hanging Temple Day Tour,1000,,,false,,,manual_review_required
fd744425-8680-496a-aa47-74a07ff0f5e3,dunhuang-to-turpan-kumtag-desert-8-day-off-road-adventure-tour,Dunhuang to Turpan & Kumtag Desert 8-Day Off-Road Adventure Tour,1000,,,false,,,manual_review_required
1efb5a6e-8b7e-43ca-9dde-9e6587bee8ba,erhai-lake-loop-day-tour,Erhai Lake Loop Day Tour,1000,,,false,,,manual_review_required
490aea2d-6cff-47f4-a9fa-5131ff160d06,fujian-tulou-day-tour,Fujian Tulou Day Tour,1000,,,false,,,manual_review_required
9b0aefcc-3604-4d5c-bcc2-0b8ee80bb621,grand-china-highlands-nature-18-day-journey,Grand China Highlands & Nature 18-Day Journey,7914,,,false,,,manual_review_required
eb9647df-6b38-46be-9920-9b80f27a9d2e,grand-china-highlights-16-day-multi-city-journey,Grand China Highlights 16-Day Multi-City Journey,5648,,,false,,,manual_review_required
2351fc82-887f-4b37-bad7-2c466764e0e0,guangzhou-classic-city-walk-day-tour,Guangzhou Classic City Walk Day Tour,1000,,,false,,,manual_review_required
4a22ea8c-15a2-4b39-b1d2-c7b3d3e32fd7,guangzhou-chaoshan-xiamen-cultural-loop-8-day-tour,"Guangzhou, Chaoshan & Xiamen  Cultural Loop 8-Day Tour",1000,,,false,,,manual_review_required
1654f129-046a-4daf-b595-a2fd00f13cc3,guilin-city-highlights-night-cruise-day-tour,Guilin City Highlights & Night Cruise Day Tour,1000,,,false,,,manual_review_required
d2be5f8a-75a3-453a-88e6-a13c8baa70d4,guilin-to-yangshuo-classic-7-day-tour,Guilin to Yangshuo  Classic 7-Day Tour,1709,,,false,,,manual_review_required
cf231b9a-9022-477f-a583-04e5711a659c,guiyang-city-highlights-day-tour,Guiyang City Highlights Day Tour,1000,,,false,,,manual_review_required
a1d410d7-a3c1-4333-bc5f-52befea2acd2,guiyang-to-qiannan-panoramic-explorer-9-day-tour,Guiyang to Qiannan Panoramic Explorer  9-Day Tour,1000,,,false,,,manual_review_required
6c8279a0-ecad-4b80-9ad0-069b104c407d,guizhou-to-waterfalls-karst-minority-cultures-8-day-panorama-tour,"Guizhou to Waterfalls, Karst & Minority Cultures 8-Day Panorama Tour",1000,,,false,,,manual_review_required
