id,slug,title,current_status,proposed_status,public_before,public_after,manual_review,reason
68262f66-90f9-4f2f-822e-51865bde7967,beijing-imperial-temple-garden-hutongs-day-tour,"Beijing Imperial Temple, Garden & Hutongs Day Tour",inactive,archived,false,false,false,Map legacy inactive to archived
e468b842-7c59-4258-8d56-8b585566be82,chengdu-panda-alley-culture-day-tour,Chengdu Panda & Alley Culture Day Tour,inactive,archived,false,false,true,Status-only in 025B1; slug/type remain MANUAL_REVIEW
3ec32480-b591-470f-bd10-9714c84588ef,chengdu-panda-ancient-irrigation-day-tour,Chengdu Panda & Ancient Irrigation Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
f0f123a2-0413-4050-99d8-46f2b0cd8ec9,chengdu-panda-dujiangyan-mt-qingcheng-2-day-classic-tour,"Chengdu Panda, Dujiangyan & Mt. Qingcheng 2-Day Classic Tour",inactive,archived,false,false,false,Map legacy inactive to archived
77f512fd-41df-4eee-8d35-4c33623aa637,chengdu-to-ganzi-tibetan-buddhism-pilgrimage-hidden-lands-10-day-tour,Chengdu to Ganzi Tibetan Buddhism Pilgrimage & Hidden Lands 10-Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
64ad1143-2c99-4444-a735-195b5c2da099,chengdu-to-xichang-luojishan-6-day-tour,Chengdu to Xichang & Luojishan 6-Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
6cbaf3e2-63ef-4d78-b1cb-1ed4ef635d13,chongqing-retro-modern-day-tour,Chongqing Retro & Modern Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
ce8fcb42-c0a8-4925-b4e0-540cac40b7e1,chongqing-wulong-classic-6-day-tour,Chongqing & Wulong Classic 6-Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
1a95095c-9f0d-4b6d-a30e-8084a7277304,chongqing-wulong-karst,Wulong Karst 2-Day Discovery Tour,inactive,archived,false,false,false,Map legacy inactive to archived
fd6b7c12-c11d-4ae4-9a84-d451bc2fe372,dai-village-nannuo-mountain-tea-culture-day-tour,Dai Village & Nannuo Mountain Tea Culture Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
f699fa20-3732-4bd0-8379-974e9a35420c,dali-cangshan-mountain-with-chongsheng-three-pagodas-day-tour-,Dali Cangshan Mountain  with Chongsheng Three Pagodas Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
87788afb-8344-4dbe-92e9-4ad41f660cd5,datong-to-yungang-grottoes-hanging-temple-day-tour,Datong to Yungang Grottoes & Hanging Temple Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
fd744425-8680-496a-aa47-74a07ff0f5e3,dunhuang-to-turpan-kumtag-desert-8-day-off-road-adventure-tour,Dunhuang to Turpan & Kumtag Desert 8-Day Off-Road Adventure Tour,inactive,archived,false,false,false,Map legacy inactive to archived
1efb5a6e-8b7e-43ca-9dde-9e6587bee8ba,erhai-lake-loop-day-tour,Erhai Lake Loop Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
490aea2d-6cff-47f4-a9fa-5131ff160d06,fujian-tulou-day-tour,Fujian Tulou Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
2351fc82-887f-4b37-bad7-2c466764e0e0,guangzhou-classic-city-walk-day-tour,Guangzhou Classic City Walk Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
1654f129-046a-4daf-b595-a2fd00f13cc3,guilin-city-highlights-night-cruise-day-tour,Guilin City Highlights & Night Cruise Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
cf231b9a-9022-477f-a583-04e5711a659c,guiyang-city-highlights-day-tour,Guiyang City Highlights Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
a1d410d7-a3c1-4333-bc5f-52befea2acd2,guiyang-to-qiannan-panoramic-explorer-9-day-tour,Guiyang to Qiannan Panoramic Explorer  9-Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
6c8279a0-ecad-4b80-9ad0-069b104c407d,guizhou-to-waterfalls-karst-minority-cultures-8-day-panorama-tour,"Guizhou to Waterfalls, Karst & Minority Cultures 8-Day Panorama Tour",inactive,archived,false,false,false,Map legacy inactive to archived
9c0864b9-a79d-46c4-800c-ddc4dbab54d5,gulangyu-island-day-tour,Gulangyu Island Day Tour,inactive,archived,false,false,false,Map legacy inactive to archived
