id,current_slug,proposed_slug,current_status,proposed_status,current_type,proposed_type,seo_complete,price_complete,redirect_required,manual_review_required,reason
3468ea14-5f5e-40f6-9234-0fedf137189e,beijing-city-imperial-grandeur-urban-chic-1-day-tour,beijing-city-imperial-grandeur-urban-chic-1-day-tour,active,active,Explore Together,explore-together,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
9b0aefcc-3604-4d5c-bcc2-0b8ee80bb621,grand-china-highlands-nature-18-day-journey,grand-china-highlands-nature-18-day-journey,active,active,Deep Discovery,deep-discovery,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
eb9647df-6b38-46be-9920-9b80f27a9d2e,grand-china-highlights-16-day-multi-city-journey,grand-china-highlights-16-day-multi-city-journey,active,active,Deep Discovery,deep-discovery,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
ef87b1c3-d52a-4e8e-ade7-950e1bceadb3,yunnan-kunming-dali-lijiang-shangri-la-9-day-tour,yunnan-kunming-dali-lijiang-shangri-la-9-day-tour,active,active,Deep Discovery,deep-discovery,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
ff987022-70a1-48c7-bed4-3dd33be5f105,yunnan-kunming-xishuangbanna-tengchong-8-day-tour,yunnan-kunming-xishuangbanna-tengchong-8-day-tour,inactive,archived,Deep Discovery,deep-discovery,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
43afa024-0a6b-42a4-ab24-b582778ad587,lhasa-holy-lakes-classic-tibet-8-day-tour,lhasa-holy-lakes-classic-tibet-8-day-tour,active,active,Deep Discovery,deep-discovery,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
1211dc54-4653-4bb1-a925-75fa38477919,xining-to-lhasa-mount-everest-tibet-grand-10-day-tour,xining-to-lhasa-mount-everest-tibet-grand-10-day-tour,active,active,Deep Discovery,deep-discovery,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
77f512fd-41df-4eee-8d35-4c33623aa637,chengdu-to-ganzi-tibetan-buddhism-pilgrimage-hidden-lands-10-day-tour,chengdu-to-ganzi-tibetan-buddhism-pilgrimage-hidden-lands-10-day-tour,inactive,archived,Deep Discovery,deep-discovery,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
9cef0680-e565-4507-bf70-24ae7ff50952,western-sichuan-daocheng-yading-nature-9-day-tour,western-sichuan-daocheng-yading-nature-9-day-tour,inactive,archived,Deep Discovery,deep-discovery,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
64ad1143-2c99-4444-a735-195b5c2da099,chengdu-to-xichang-luojishan-6-day-tour,chengdu-to-xichang-luojishan-6-day-tour,inactive,archived,Deep Discovery,deep-discovery,false,false,false,false,manual_review: add currency and price_basis columns after confirmation
